id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1344795283385765888,1344646819385634816,2021-01-01 07:59:15 HKT,2021-01-01,07:59:15,+0800,771314006065680389,highpointsusa,Robert Roy Morgan Jr,,"@mercnews A 4.0 hit Midland, Texas...now THAT’S news...and don’t forget the 3.8 that hit Wichita, Kansas the other day.",en,[],[],[],0,0,0,[],[],https://twitter.com/HighPointsUSA/status/1344795283385765888,False,,0,,,,,,,,"[{'screen_name': 'mercnews', 'name': 'Mercury News', 'id': '10433782'}]",,,,
1344795274284306434,1344791144899624960,2021-01-01 07:59:13 HKT,2021-01-01,07:59:13,+0800,1294751097085730823,alanstinchfiel2,Flagfreedomconservative,,@KBoomhauer @tr00p3RR And in Texas of all places. The people that boast about being all patriotic.   And they let the anarchy reign.,en,[],[],[],0,0,1,[],[],https://twitter.com/AlanSTINCHFIEL2/status/1344795274284306434,False,,0,,,,,,,,"[{'screen_name': 'KBoomhauer', 'name': 'Cat Hyde ~ Right Wing Grift Watch', 'id': '1344390894644940801'}]",,,,
1344795265417543680,1344795265417543680,2021-01-01 07:59:11 HKT,2021-01-01,07:59:11,+0800,28794629,gimmeapuck,Jen Jen,"{'type': 'Point', 'coordinates': [30.2105, -95.7506]}","My husband just gave me the sweetest prize! Now I get to ring in the New Year with two of my favorite dudes! 😍 #davidrose @ Magnolia, Texas  https://t.co/RZfbLCiblV",en,[],['https://www.instagram.com/p/CJez8hOnAWK/?igshid=udl1fm0ig7oj'],[],1,0,0,['davidrose'],[],https://twitter.com/gimmeapuck/status/1344795265417543680,False,,0,,,,,,,,[],,,,
1344795262171152384,1344795262171152384,2021-01-01 07:59:10 HKT,2021-01-01,07:59:10,+0800,1343772541526175744,luis48326187,luis,,Saludes desde Austin Texas a todos los que laboran en la radio y un feliz año a mi madre Eusevia Gonzales y familiares que escuchan la colonia santa Marta,es,[],[],[],0,0,0,[],[],https://twitter.com/luis48326187/status/1344795262171152384,False,,0,,,,,,,,[],,,,
1344795257188315137,1344795257188315137,2021-01-01 07:59:09 HKT,2021-01-01,07:59:09,+0800,398544978,electricmayhem6,Jason Talbott,,"I would watch @AlanTudyk individually paint every grain of sand in Texas, pink.",en,"[{'screen_name': 'alantudyk', 'name': 'alan tudyk', 'id': '334321077'}]",[],[],0,0,0,[],[],https://twitter.com/ElectricMayhem6/status/1344795257188315137,False,https://twitter.com/ResidentAlien/status/1339686289080266753,0,,,,,,,,[],,,,
1344795246119571458,1344792422430240769,2021-01-01 07:59:06 HKT,2021-01-01,07:59:06,+0800,879118014079266816,_cjader,James🍕,,@Cryptified_ @tofuscoffin Ok but doesn’t Joe still live in Texas?,en,[],[],[],0,0,0,[],[],https://twitter.com/_cjader/status/1344795246119571458,False,,0,,,,,,,,"[{'screen_name': 'Cryptified_', 'name': 'Cryptified', 'id': '1050386553183358976'}, {'screen_name': 'tofuscoffin', 'name': 'Joe', 'id': '1336156808629661697'}]",,,,
1344795235117887490,1344795235117887490,2021-01-01 07:59:03 HKT,2021-01-01,07:59:03,+0800,752900543404646400,lyles_barry,Barry Lyles,,@tedcruz Ted make sure you stand up with Josh Hawley on Jan 6th.  The people here in Texas that voted for Trump will be watching.,en,[],[],[],0,0,0,[],[],https://twitter.com/lyles_barry/status/1344795235117887490,False,,0,,,,,,,,[],,,,
1344795208387616768,1344795208387616768,2021-01-01 07:58:57 HKT,2021-01-01,07:58:57,+0800,1084827714,lorcancneill,Lorcan Neill,,Mike Leach is the Dave Portnoy of college football. Why he is still allowed to coach after what happened at Texas Tech baffles me.,en,[],[],[],0,0,1,[],[],https://twitter.com/LorcanCNeill/status/1344795208387616768,False,https://twitter.com/espn/status/1344749618677084165,0,,,,,,,,[],,,,
1344795204088442880,1344795204088442880,2021-01-01 07:58:56 HKT,2021-01-01,07:58:56,+0800,294187292,hermie_berries,Ègbón ìyá Bùkáyò Sàká,,I dey wait make 2021 knack for Texas make í call this man..,en,[],[],[],1,0,2,[],[],https://twitter.com/Hermie_Berries/status/1344795204088442880,False,,0,,,,,,,,[],,,,
1344795173956579328,1344788717022683136,2021-01-01 07:58:49 HKT,2021-01-01,07:58:49,+0800,1165728361169268736,shabimgus,Tez,,@doremypuyotet happy new years from texas &lt;3,en,[],[],[],0,0,0,[],[],https://twitter.com/shabimgus/status/1344795173956579328,False,,0,,,,,,,,"[{'screen_name': 'doremypuyotet', 'name': 'Doremy', 'id': '921475894266552320'}]",,,,
